nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9064691,30.3504784,10.657,0.071,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 48.600+03: 00,39578,new.003.001.
59.9064691,30.3504783,10.663,0.115,0.0,0.0,0.0,-5.159870456645011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 48.700+03: 00,39676,new.003.001.
59.9064692,30.350478,10.666,0.154,0.0,0.0,0.0,-5.092752074930318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 48.800+03: 00,39778,new.003.001.
59.9064693,30.3504776,10.671,0.23,0.0,0.0,0.0,-5.226226129476585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,43,0,4,0.78,2025-04-23T17: 13: 48.900+03: 00,39875,new.003.001.
59.9064694,30.3504772,10.675,0.245,0.0,0.0,0.0,-5.25920587102227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.000+03: 00,39985,new.003.001.
59.9064695,30.3504766,10.678,0.317,0.0,0.0,0.0,-5.008621968996435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.100+03: 00,40077,new.003.001.
59.9064696,30.3504759,10.681,0.409,0.0,0.0,0.0,-5.068711909813348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.200+03: 00,40180,new.003.001.
59.9064699,30.3504752,10.68,0.502,0.0,0.0,0.0,-5.281034703976962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.300+03: 00,40285,new.003.001.
59.9064701,30.3504741,10.685,0.578,0.0,0.0,0.0,-5.2122896753994095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.400+03: 00,40376,new.003.001.
59.9064704,30.3504728,10.684,0.797,0.0,0.0,0.0,-5.118324639130539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.500+03: 00,40481,new.003.001.
59.9064707,30.3504716,10.682,0.743,0.0,0.0,0.0,-5.149133191086742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.600+03: 00,40579,new.003.001.
59.906471,30.3504699,10.683,0.948,0.0,0.0,0.0,-5.128557504534982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.700+03: 00,40676,new.003.001.
