speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
33.2,32.52,56611,3,0,3,new.003.003.
32.88,32.84,56715,3,0,3,new.003.003.
32.88,32.84,56813,3,0,3,new.003.003.
33.06,33.07,56914,5,0,5,new.003.003.
33.06,33.07,57019,5,0,5,new.003.003.
33.37,33.42,57120,7,0,7,new.003.003.
33.37,33.42,57213,7,0,7,new.003.003.
33.69,33.69,57317,7,0,7,new.003.003.
33.69,33.69,57419,7,0,7,new.003.003.
34.08,34.24,57521,7,0,7,new.003.003.
34.08,34.24,57623,7,0,7,new.003.003.
34.63,34.67,57725,5,0,5,new.003.003.
34.63,34.67,57834,5,0,5,new.003.003.
35.09,35.13,57928,3,0,3,new.003.003.
35.09,35.13,58029,3,0,3,new.003.003.
35.410000000000004,35.54,58132,3,0,3,new.003.003.
35.68,35.54,58233,3,0,3,new.003.003.
35.68,35.74,58343,3,0,3,new.003.003.
35.86,35.74,58435,3,0,3,new.003.003.
35.86,35.94,58538,3,0,3,new.003.003.
36.2,35.94,58640,3,0,3,new.003.003.
36.2,36.2,58746,3,0,3,new.003.003.
36.47,36.2,58841,3,0,3,new.003.003.
36.47,36.43,58945,3,0,3,new.003.003.
36.74,36.43,59112,3,0,3,new.003.003.
36.74,36.730000000000004,59153,15,0,0,new.003.003.
36.9,36.730000000000004,59315,15,0,0,new.003.003.
36.9,36.89,59356,15,0,0,new.003.003.
36.980000000000004,36.89,59552,15,0,0,new.003.003.
36.980000000000004,36.75,59654,15,0,0,new.003.003.
37.29,36.75,59766,15,0,0,new.003.003.
37.29,37.1,59867,15,0,0,new.003.003.
36.75,37.1,59968,15,0,0,new.003.003.
36.75,36.77,60070,15,0,0,new.003.003.
37.03,36.77,60171,15,0,0,new.003.003.
37.03,36.84,60266,15,0,0,new.003.003.
36.63,36.84,60370,15,0,0,new.003.003.
36.63,36.71,60473,-3,0,-3,new.003.003.
36.82,36.71,60581,-5,0,-5,new.003.003.
36.82,36.550000000000004,60672,-7,0,-7,new.003.003.
36.53,36.550000000000004,60776,-7,0,-7,new.003.003.
36.53,36.56,60879,-7,0,-7,new.003.003.
36.480000000000004,36.56,60983,-9,0,-9,new.003.003.
36.480000000000004,36.38,61084,-9,0,-9,new.003.003.
36.300000000000004,36.38,61185,-9,0,-9,new.003.003.
36.300000000000004,36.11,61281,-9,0,-9,new.003.003.
35.89,36.11,61386,-9,0,-9,new.003.003.
35.89,35.67,61487,-9,0,-9,new.003.003.
35.28,35.67,61590,-9,0,-9,new.003.003.
35.28,35.15,61685,-9,0,-9,new.003.003.
34.68,35.15,61798,-7,0,-7,new.003.003.
34.68,34.38,61890,-7,0,-7,new.003.003.
33.89,34.38,62001,-5,0,-5,new.003.003.
33.89,33.660000000000004,62093,-5,0,-5,new.003.003.
33.32,33.660000000000004,62196,-5,0,-5,new.003.003.
33.32,33.15,62299,-3,0,-3,new.003.003.
32.81,32.78,62401,15,0,0,new.003.003.
32.81,32.78,62502,15,0,0,new.003.003.
32.61,32.57,62610,15,0,0,new.003.003.
32.61,32.57,62714,15,0,0,new.003.003.
32.43,32.43,62805,15,0,0,new.003.003.
32.43,32.43,62916,15,0,0,new.003.003.
32.38,32.29,63019,15,0,0,new.003.003.
32.38,32.29,63111,15,0,0,new.003.003.
32.33,32.19,63212,15,0,0,new.003.003.
32.33,32.19,63325,15,0,0,new.003.003.
32.21,32.18,63427,15,0,0,new.003.003.
32.21,32.18,63528,15,0,0,new.003.003.
32.3,32.0,63629,15,0,0,new.003.003.
32.3,32.0,63731,15,0,0,new.003.003.
32.03,31.990000000000002,63838,15,0,0,new.003.003.
32.03,31.990000000000002,63929,15,0,0,new.003.003.
32.07,31.96,64032,15,0,0,new.003.003.
31.91,31.96,64132,-3,0,-3,new.003.003.
31.91,31.8,64233,-5,0,-5,new.003.003.
31.92,31.88,64363,-7,0,-7,new.003.003.
31.57,31.88,64459,-7,0,-7,new.003.003.
31.57,31.8,64550,-7,0,-7,new.003.003.
31.650000000000002,31.8,64652,-7,0,-7,new.003.003.
31.650000000000002,31.580000000000002,64755,-7,0,-7,new.003.003.
31.330000000000002,31.580000000000002,64858,-7,0,-7,new.003.003.
31.330000000000002,31.220000000000002,64960,-7,0,-7,new.003.003.
30.95,31.220000000000002,65063,-7,0,-7,new.003.003.
30.95,30.87,65154,-7,0,-7,new.003.003.
30.53,30.87,65257,-7,0,-7,new.003.003.
30.53,30.38,65358,-7,0,-7,new.003.003.
30.14,30.38,65459,-5,0,-5,new.003.003.
30.14,29.900000000000002,65572,15,0,0,new.003.003.
29.8,29.900000000000002,65663,15,0,0,new.003.003.
29.8,29.72,65766,15,0,0,new.003.003.
29.5,29.72,65869,15,0,0,new.003.003.
29.5,29.61,65970,15,0,0,new.003.003.
29.560000000000002,29.61,66075,15,0,0,new.003.004.
29.560000000000002,29.38,66172,15,0,0,new.003.004.
29.17,29.38,66274,15,0,0,new.003.004.
29.17,29.32,66376,15,0,0,new.003.004.
29.42,29.32,66478,15,0,0,new.003.004.
29.42,29.25,66579,-3,0,-3,new.003.004.
29.13,29.25,66684,-5,0,-5,new.003.004.
29.13,29.2,66787,-7,0,-7,new.003.004.
29.17,29.2,66888,-7,0,-7,new.003.004.
29.17,29.1,66981,-7,0,-7,new.003.004.
29.0,29.1,67082,-7,0,-7,new.003.004.
29.0,28.97,67187,-7,0,-7,new.003.004.
28.73,28.97,67350,-7,0,-7,new.003.004.
28.73,28.59,67391,-7,0,-7,new.003.004.
28.41,28.59,67597,-7,0,-7,new.003.004.
28.41,28.26,67701,-7,0,-7,new.003.004.
27.990000000000002,28.26,67795,-7,0,-7,new.003.004.
27.990000000000002,27.8,67896,-5,0,-5,new.003.004.
27.6,27.42,67998,-5,0,-5,new.003.004.
27.6,27.42,68099,15,0,0,new.003.004.
