grabNumber,grabMsec,deviceSec,deviceUsec,cameraProperties,episode
148,39268,25182,109389,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
149,39393,25182,234380,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
150,39518,25182,359371,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
151,39643,25182,484361,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
152,39768,25182,609352,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
153,39893,25182,734343,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
154,40018,25182,859334,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
155,40143,25182,984325,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
156,40268,25183,109316,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
157,40393,25183,234307,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
158,40518,25183,359298,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
159,40643,25183,484289,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
160,40768,25183,609280,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
161,40893,25183,734270,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
162,41018,25183,859261,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
163,41143,25183,984252,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
164,41268,25184,109243,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
165,41393,25184,234234,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
166,41518,25184,359225,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
167,41643,25184,484216,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
168,41768,25184,609207,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
169,41893,25184,734198,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
170,42018,25184,859189,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
171,42143,25184,984179,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
172,42268,25185,109170,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
173,42393,25185,234161,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
174,42518,25185,359152,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
175,42643,25185,484143,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
176,42768,25185,609134,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
